,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT:
1->10->2->3->-4>...",,Revisit - new,,,Annotator,,,,,,,,,,,,,,,,,,,,,,,,Revisit
question,video_path,task,,State 1,State 2,,perceptual_challenge,state_type,inference_demand,Exclude,,,,,,,,,,,,,,,,,,,,
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0001_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0002_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0003_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0004_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0005_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0006_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0007_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0008_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0009_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"From the reader's perspective, how many pages were turned? Answer with a positive number if the page number increased (turned forward), a negative number if it decreased (turned backward), or 0 if it remained the same.",/nas2/benchmarks/vpi/real/processed/book/0010_pt1.mp4,book,No,Count,Atmoic,Sihyun,Action ambiguity,Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 1 (Top-Left). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 4
 (B) 1
 (C) 3
 (D) 2",/nas2/benchmarks/vpi/real/processed/tilt_box/0001_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 3 (Bottom-Right). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 2
 (B) 4
 (C) 3
 (D) 1",/nas2/benchmarks/vpi/real/processed/tilt_box/0002_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 2 (Top-Right). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 4
 (B) 1
 (C) 3
 (D) 2",/nas2/benchmarks/vpi/real/processed/tilt_box/0003_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 4 (Bottom-Left). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 2
 (B) 1
 (C) 4
 (D) 3",/nas2/benchmarks/vpi/real/processed/tilt_box/0004_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 3 (Bottom-Right). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 4
 (B) 1
 (C) 2
 (D) 3",/nas2/benchmarks/vpi/real/processed/tilt_box/0005_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 1 (Top-Left). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 2
 (B) 4
 (C) 1
 (D) 3",/nas2/benchmarks/vpi/real/processed/tilt_box/0006_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 3 (Bottom-Right). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 2
 (B) 3
 (C) 4
 (D) 1",/nas2/benchmarks/vpi/real/processed/tilt_box/0007_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 1 (Top-Left). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 3
 (B) 1
 (C) 4
 (D) 2",/nas2/benchmarks/vpi/real/processed/tilt_box/0008_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 3 (Bottom-Right). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 4
 (B) 2
 (C) 1
 (D) 3",/nas2/benchmarks/vpi/real/processed/tilt_box/0009_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"A ball was placed at corner 4 (Bottom-Left). At the end of the video, at which corner (1-4) is the ball now? Corner mapping: 1=Top-Left, 2=Top-Right, 3=Bottom-Right, 4=Bottom-Left.
 
 (A) 1
 (B) 2
 (C) 3
 (D) 4",/nas2/benchmarks/vpi/real/processed/tilt_box/0010_pt1.mp4,tilt_box,No,Location,Atmoic,Sihyun,Occlusion,Discrete location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Center
 (B) Left
 (C) Right",/nas2/benchmarks/vpi/real/processed/shell_game/0001_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Center
 (B) Right
 (C) Left",/nas2/benchmarks/vpi/real/processed/shell_game/0002_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Left
 (C) Center",/nas2/benchmarks/vpi/real/processed/shell_game/0003_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Center
 (B) Left
 (C) Right",/nas2/benchmarks/vpi/real/processed/shell_game/0004_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Right
 (B) Left
 (C) Center",/nas2/benchmarks/vpi/real/processed/shell_game/0005_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
"At the end of the video, which position is the cup (that contains the smaller cup) in? Left, Center, or Right? Answer from the viewer's perspective.
 
 (A) Left
 (B) Center
 (C) Right",/nas2/benchmarks/vpi/real/processed/shell_game/0006_pt1.mp4,shell_game,No,Location,Atmoic,Sihyun,"Occlusion, Homogeneity",Continuous location,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
